family	number of analyses	relative abundance (max)	score (Spearman rank correlation on order level [only actual rank])
super kingdom.Bacteria;phylum.Actinobacteria;class.Actinobacteria;order.Bifidobacteriales;family.Bifidobacteriaceae	5571	0.8445478966173747	0.40124686132909393
super kingdom.Bacteria;phylum.Actinobacteria;class.Actinobacteria;order.Propionibacteriales;family.Nocardioidaceae	5555	0.15392738133713738	0.41935855187108567
super kingdom.Bacteria;phylum.Firmicutes;class.Bacilli;order.Lactobacillales;family.Carnobacteriaceae	5552	0.5395132309702712	0.4156447761110234
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhizobiales;family.Beijerinckiaceae	5469	0.19234528155451436	0.3878510494832416
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhizobiales;family.Bradyrhizobiaceae	5458	0.09899061448556756	0.4068914446505624
super kingdom.Bacteria;phylum.Fibrobacteres;class.Fibrobacteria;order.Fibrobacterales;family.Fibrobacteraceae	5443	0.0773473434181789	0.4887515100788007
super kingdom.Bacteria;phylum.Bacteroidetes;class.Cytophagia;order.Cytophagales;family.Microscillaceae	5404	0.18640681411896667	0.3999532210364027
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Xanthomonadales;family.Rhodanobacteraceae	5402	0.4411052746241921	0.396449125580369
super kingdom.Bacteria;phylum.Firmicutes;class.Negativicutes;order.Selenomonadales;family.Selenomonadaceae	5376	0.6360664220528742	0.37523461953485227
super kingdom.Bacteria;phylum.Bacteroidetes;class.Bacteroidia;order.Bacteroidales;family.Paludibacteraceae	5369	0.18141503729086877	0.4728079705981918
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Oceanospirillales;family.Halomonadaceae	5304	0.8528619991747067	0.4272901456168591
super kingdom.Bacteria;phylum.Firmicutes;class.Clostridia;order.Clostridiales;family.Oscillospiraceae	5266	0.10049001465602747	0.3804318649225312
super kingdom.Bacteria;phylum.Actinobacteria;class.Coriobacteriia;order.Eggerthellales;family.Eggerthellaceae	5236	0.1410330776519587	0.38222925567964494
super kingdom.Bacteria;phylum.Acidobacteria;class.Solibacteres;order.Solibacterales;family.Bryobacteraceae	5143	0.07948412637048263	0.3792299699429989
super kingdom.Bacteria;phylum.Firmicutes;class.Negativicutes;order.Acidaminococcales;family.Acidaminococcaceae	5126	0.4717489594873791	0.4236397002469931
super kingdom.Bacteria;phylum.Bacteroidetes;class.Saprospiria;order.Saprospirales;family.Haliscomenobacteraceae	5115	0.058213266533764976	0.3551741961079833
super kingdom.Bacteria;phylum.Actinobacteria;class.Actinobacteria;order.Streptomycetales;family.Streptomycetaceae	5039	0.9799205233504168	0.4130519069562688
super kingdom.Bacteria;phylum.Actinobacteria;class.Acidimicrobiia;order.Acidimicrobiales;family.Acidimicrobiaceae	5024	0.6930555277438475	0.3908423195626309
super kingdom.Bacteria;phylum.Verrucomicrobia;class.Opitutae;order.Opitutales;family.Opitutaceae	5004	0.08998325184821776	0.3856987977534587
super kingdom.Bacteria;phylum.Planctomycetes;class.Planctomycetia;order.Planctomycetales;family.Gemmataceae	4959	0.16528014605831998	0.37352841525654007
super kingdom.Bacteria;phylum.Firmicutes;class.Bacilli;order.Bacillales;family.Staphylococcaceae	4911	0.9833288758134974	0.47636501237905987
super kingdom.Bacteria;phylum.Firmicutes;class.Clostridia;order.Clostridiales;family.Eubacteriaceae	4890	0.3512827796988725	0.44416695632792835
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Oceanospirillales;family.Alcanivoracaceae	4883	0.2933041680735264	0.34839042206320237
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhizobiales;family.Methylobacteriaceae	4825	0.36861847420459354	0.44012556861194885
super kingdom.Bacteria;phylum.Bacteroidetes;class.Saprospiria;order.Saprospirales;family.Lewinellaceae	4798	0.5507582515611061	0.33579989857567
super kingdom.Bacteria;phylum.Proteobacteria;class.Deltaproteobacteria;order.Syntrophobacterales;family.Syntrophaceae	4782	0.2593676907516278	0.40531395950630056
super kingdom.Bacteria;phylum.Bacteroidetes;class.Bacteroidia;order.Marinilabiliales;family.Marinilabiliaceae	4755	0.29510632481070737	0.43186390550261017
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Chromatiales;family.Chromatiaceae	4739	0.27928200436758543	0.38447650672400285
super kingdom.Bacteria;phylum.Proteobacteria;class.Deltaproteobacteria;order.Myxococcales;family.Nannocystaceae	4701	0.04327577064072118	0.3980414575730155
super kingdom.Bacteria;phylum.Firmicutes;class.Bacilli;order.Lactobacillales;family.Enterococcaceae	4690	0.9910036925142666	0.4303496028232987
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Sneathiellales;family.Sneathiellaceae	4587	0.10587746492377513	0.4367884892385156
super kingdom.Bacteria;phylum.Proteobacteria;class.Betaproteobacteria;order.Burkholderiales;family.Sutterellaceae	4518	0.3626340680904966	0.3534861330130492
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Alteromonadales;family.Pseudoalteromonadaceae	4450	0.37722364783616597	0.34088503060853476
super kingdom.Bacteria;phylum.Verrucomicrobia;class.Verrucomicrobiae;order.Verrucomicrobiales;family.Rubritaleaceae	4358	0.34946893972785825	0.3377807927307875
super kingdom.Bacteria;phylum.Proteobacteria;class.Deltaproteobacteria;order.Myxococcales;family.Polyangiaceae	4356	0.13520820167123096	0.34759732767975654
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Chromatiales;family.Thioalkalispiraceae	4344	0.4423790681267446	0.3999370302295157
super kingdom.Bacteria;phylum.Proteobacteria;class.Deltaproteobacteria;order.Desulfuromonadales;family.Geobacteraceae	4344	0.18062803671045527	0.3952506657618641
super kingdom.Bacteria;phylum.Armatimonadetes;class.Fimbriimonadia;order.Fimbriimonadales;family.Fimbriimonadaceae	4176	0.020904304738309076	0.35458957518559986
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Micropepsales;family.Micropepsaceae	4155	0.3666116141769653	0.343979339471224
super kingdom.Bacteria;phylum.Actinobacteria;class.Actinobacteria;order.Frankiales;family.Sporichthyaceae	4154	0.5346982970764839	0.3936024570021835
super kingdom.Bacteria;phylum.Actinobacteria;class.Thermoleophilia;order.Solirubrobacterales;family.Conexibacteraceae	4129	0.13159580618447164	0.34080867641973533
super kingdom.Bacteria;phylum.Fusobacteria;class.Fusobacteriia;order.Fusobacteriales;family.Leptotrichiaceae	4121	0.3657055633390162	0.3651916501846214
super kingdom.Bacteria;phylum.Chlamydiae;class.Chlamydiia;order.Parachlamydiales;family.Parachlamydiaceae	4109	0.05493445656024879	0.38189067327587084
super kingdom.Bacteria;phylum.Proteobacteria;class.Deltaproteobacteria;order.Myxococcales;family.Phaselicystidaceae	4091	0.042904311670925344	0.36586099358764734
super kingdom.Bacteria;phylum.Bacteroidetes;class.Cytophagia;order.Cytophagales;family.Hymenobacteraceae	4056	0.4577924707510842	0.40736393489700296
super kingdom.Bacteria;phylum.Actinobacteria;class.Thermoleophilia;order.Solirubrobacterales;family.Solirubrobacteraceae	4051	0.08668650339513237	0.3457238672521461
super kingdom.Bacteria;phylum.Verrucomicrobia;class.Verrucomicrobiae;order.Verrucomicrobiales;family.Akkermansiaceae	4018	0.8529038679208462	0.40574873345224044
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhodospirillales;family.Geminicoccaceae	4015	0.06433470113920055	0.38068456404966816
super kingdom.Bacteria;phylum.Actinobacteria;class.Coriobacteriia;order.Coriobacteriales;family.Coriobacteriaceae	3990	0.5162482867081315	0.37335544999170645
super kingdom.Bacteria;phylum.Actinobacteria;class.Actinobacteria;order.Pseudonocardiales;family.Pseudonocardiaceae	3882	0.2761327269664814	0.37354507643661855
super kingdom.Bacteria;phylum.Proteobacteria;class.Deltaproteobacteria;order.Myxococcales;family.Anaeromyxobacteraceae	3879	0.1068158077994429	0.3409574434842815
super kingdom.Bacteria;phylum.Firmicutes;class.Tissierellia;order.Tissierellales;family.Peptoniphilaceae	3876	0.4533405212477228	0.40872935098821545
super kingdom.Bacteria;phylum.Synergistetes;class.Synergistia;order.Synergistales;family.Synergistaceae	3854	0.5494614804143514	0.44625221944203103
super kingdom.Bacteria;phylum.Acidobacteria;class.Solibacteres;order.Solibacterales;family.Solibacteraceae	3826	0.12374048722418264	0.34396707696173034
super kingdom.Bacteria;phylum.Actinobacteria;class.Rubrobacteria;order.Gaiellales;family.Gaiellaceae	3795	0.0939631427072403	0.32831867042884455
